narK	nrfABCDEFG	dnaKJ	ibpAB	grpE	hflB	clpP	htpG	FruR	ptsHI_crr	icdA	cpxAR	uhpT	tonB	dnaA	narL	deoR	uppS_cdsA_ecfE	mglBAC	ebgAC	malK_lamB_malM	mopB	fucPIKUR	fecIR	tnaLAB	sodA	deoCABD	fepB	yhfA	glgS	acs	htrA	srlAEBD_gutM_srlR_gutQ	caiF	fur	ecfK	rpoH	mopA	rpoE_rseABC	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	cirA	cyaA	speC	araBAD	ansB	nagBACD	araJ	nupG	araC	ivbL_ilvBN	fnr	malS	gntT	cydAB	manXYZ	appCBA	ompC	yjdHG	htpY	malI	pspABCDE	malT	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	marRAB	cyoABCDE	soxS	nfo	rpoD	tsx	caiTABCDE	himA	dcuB_fumB	cytR	gntKU	arcA	fhuACDB	frdABCD	ecfD	malEFG	appY	focA_pflB	aceBAK	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	lon
himA	ompC	caiF	tnaLAB	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	deoCABD	ecfK	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	cytR	fur	nupG	gntKU	araJ	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	narK	ivbL_ilvBN	uhpT	gntT	manXYZ	appCBA	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	cydAB	tsx	icdA	nrfABCDEFG	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	lon
ecfH	rpoD	lpxDA_fabZ	ecfG	uppS_cdsA_ecfE	fkpA	rpoE_rseABC	ecfABC	cirA	hflB	htpG	grpE	clpP	soxS	mopB	deoCABD	malK_lamB_malM	fecIR	mglBAC	sodA	tnaLAB	caiF	fepB	glgS	htrA	fucPIKUR	ebgAC	araC	ansB	fnr	acs	araJ	srlAEBD_gutM_srlR_gutQ	yhfA	rpoH	mopA	ibpAB	crp	araE	xprB_dsbC_recJ	ppiA	dnaA	ptsHI_crr	cyaA	speC	araBAD	nagBACD	cytR	nupG	ecfK	fur	himA	ivbL_ilvBN	narK	malS	cydAB	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	deoR	tsx	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	nfo	gntT	nrfABCDEFG	gntKU	dcuB_fumB	uhpT	icdA	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	focA_pflB	malT	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
manXYZ	cirA	caiF	ecfK	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	deoCABD	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	fur	nupG	gntKU	araE	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	xprB_dsbC_recJ	araJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cyaA	speC	araBAD	clpP	nagBACD	narK	ivbL_ilvBN	uhpT	gntT	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	cydAB	tsx	icdA	nrfABCDEFG	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	lon
ivbL_ilvBN	gntKU	uhpT	fucAO	fucPIKUR	malK_lamB_malM	araBAD	gntT	malT	mglBAC	crp	malEFG	glgS	ebgAC	speC	cirA	tnaLAB	fixABCX	hypABCDE	narK	nrfABCDEFG	clpP	ibpAB	fecIR	sodA	ecfH	ecfABC	deoCABD	fepB	htrA	nagBACD	acs	rpoE_rseABC	htpG	mopA	rpoH	araC	uppS_cdsA_ecfE	fkpA	araE	mopB	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	srlAEBD_gutM_srlR_gutQ	yhfA	fur	ptsHI_crr	fnr	ecfK	cyaA	nupG	araJ	ansB	caiF	himA	cytR	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	ompC	appCBA	manXYZ	dcuB_fumB	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	narL	appY	focA_pflB	cydAB	ecfG	melAB	tdcABCDEFG	gltA	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	tsx	lon
grpE	hflB	htpG	clpP	cirA	nagBACD	nuoABCEFGHIJKLMN	tnaLAB	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	caiF	yhfA	deoCABD	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	srlAEBD_gutM_srlR_gutQ	nupG	fur	ecfK	rpoH	mopA	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cyaA	speC	araBAD	araJ	narK	cytR	ivbL_ilvBN	gntKU	uhpT	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	cydAB	gntT	tsx	focA_pflB	icdA	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	ecfG	nrfABCDEFG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	aceBAK	caiTABCDE	malT	lon
ivbL_ilvBN	gntKU	uhpT	yhfA	fucAO	malK_lamB_malM	araBAD	gntT	malT	mglBAC	crp	malEFG	glgS	ebgAC	speC	cirA	tnaLAB	fixABCX	hypABCDE	narK	nrfABCDEFG	clpP	ibpAB	fecIR	sodA	ecfH	ecfABC	deoCABD	fepB	htrA	nagBACD	acs	rpoE_rseABC	htpG	mopA	rpoH	araC	uppS_cdsA_ecfE	fkpA	araE	mopB	fucPIKUR	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	srlAEBD_gutM_srlR_gutQ	dnaA	fur	ptsHI_crr	fnr	ecfK	cyaA	nupG	araJ	ansB	caiF	himA	cytR	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	ompC	appCBA	manXYZ	dcuB_fumB	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	narL	appY	focA_pflB	cydAB	ecfG	melAB	tdcABCDEFG	gltA	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	tsx	lon
soxS	htpY	lpxDA_fabZ	ecfK	ecfG	uppS_cdsA_ecfE	fkpA	ecfH	rpoE_rseABC	rpoD	rpoH	ansB	cydAB	fnr	fucPIKUR	sodA	mopB	mglBAC	malK_lamB_malM	fecIR	caiF	tnaLAB	deoCABD	fepB	yhfA	glgS	htrA	acs	ebgAC	araC	srlAEBD_gutM_srlR_gutQ	nagBACD	fur	nupG	mopA	htpG	ibpAB	ecfABC	crp	araE	xprB_dsbC_recJ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	cytR	araJ	himA	ivbL_ilvBN	narK	grpE	gntT	manXYZ	appCBA	ompC	yjdHG	cpxAR	malI	dnaKJ	malS	deoR	nrfABCDEFG	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	nfo	tsx	malT	gntKU	appY	uhpT	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	dcuB_fumB	caiTABCDE	focA_pflB	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	lon
malEFG	malT	gntT	ebgAC	araBAD	speC	glgS	crp	ivbL_ilvBN	fucPIKUR	malK_lamB_malM	yhfA	fucAO	gntKU	uhpT	melAB	cyaA	malS	tsx	fepB	uppS_cdsA_ecfE	htrA	acs	sodA	mglBAC	mopB	fecIR	deoCABD	araC	srlAEBD_gutM_srlR_gutQ	tnaLAB	nupG	fur	ecfK	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	clpP	nagBACD	araJ	fnr	ansB	caiF	himA	manXYZ	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	appCBA	cydAB	cytR	nrfABCDEFG	narK	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	narL	appY	dcuB_fumB	focA_pflB	ecfG	tdcABCDEFG	gltA	fixABCX	hypABCDE	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
ivbL_ilvBN	gntKU	uhpT	yhfA	fucAO	fucPIKUR	araBAD	gntT	malT	crp	mglBAC	malEFG	glgS	ebgAC	speC	cirA	tnaLAB	fixABCX	hypABCDE	narK	nrfABCDEFG	clpP	ibpAB	fecIR	sodA	ecfH	ecfABC	deoCABD	fepB	htrA	nagBACD	acs	rpoE_rseABC	htpG	mopA	rpoH	araC	uppS_cdsA_ecfE	malK_lamB_malM	fkpA	mopB	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	srlAEBD_gutM_srlR_gutQ	dnaA	fur	ptsHI_crr	fnr	ecfK	cyaA	nupG	araJ	ansB	caiF	himA	cytR	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	ompC	appCBA	manXYZ	dcuB_fumB	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	narL	appY	focA_pflB	cydAB	ecfG	melAB	tdcABCDEFG	gltA	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	tsx	lon
lpxDA_fabZ	rpoD	ecfK	ecfG	rpoE_rseABC	ecfH	fkpA	ecfABC	cirA	grpE	clpP	htpG	hflB	mopB	soxS	ebgAC	acs	mglBAC	malK_lamB_malM	fnr	uppS_cdsA_ecfE	fecIR	ansB	sodA	tnaLAB	deoCABD	araC	fepB	glgS	htrA	fucPIKUR	caiF	araJ	srlAEBD_gutM_srlR_gutQ	dnaA	rpoH	mopA	ibpAB	crp	araE	xprB_dsbC_recJ	ppiA	ptsHI_crr	yhfA	cyaA	speC	araBAD	nagBACD	cytR	nupG	fur	himA	ivbL_ilvBN	narK	malS	cydAB	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	deoR	tsx	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	nfo	gntT	nrfABCDEFG	gntKU	dcuB_fumB	uhpT	icdA	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	focA_pflB	malT	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
cirA	araE	araJ	dmsABC	caiF	tnaLAB	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	fepB	deoCABD	fur	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	yhfA	nupG	ecfK	gntKU	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cyaA	speC	araBAD	clpP	nagBACD	narK	ivbL_ilvBN	uhpT	gntT	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	cydAB	tsx	icdA	nrfABCDEFG	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	lon
ecfABC	grpE	hflB	caiF	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	deoCABD	fepB	fur	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	yhfA	nupG	ecfK	gntKU	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	araJ	narK	ivbL_ilvBN	uhpT	icdA	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	cydAB	gntT	tsx	ecfG	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	melAB	nrfABCDEFG	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	lon
fixABCX	yhfA	fucPIKUR	malK_lamB_malM	arcA	appCBA	deoR	tnaLAB	srlAEBD_gutM_srlR_gutQ	mopB	mglBAC	uppS_cdsA_ecfE	fecIR	sodA	caiF	ecfK	deoCABD	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	fur	nupG	narK	araJ	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	cytR	ivbL_ilvBN	gntKU	pspABCDE	manXYZ	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	sdhCDAB_b0725_sucABCD	gntT	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	cydAB	tsx	uhpT	focA_pflB	icdA	hflB	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	ecfG	nrfABCDEFG	melAB	tdcABCDEFG	gltA	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	lon
cyoABCDE	gltA	deoR	tnaLAB	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	caiF	ecfK	deoCABD	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	fur	araJ	nupG	narK	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	cytR	ivbL_ilvBN	gntKU	uhpT	cydAB	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	tonB	soxS	nfo	rpoD	gntT	tsx	nrfABCDEFG	dcuB_fumB	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	focA_pflB	malT	ecfG	melAB	tdcABCDEFG	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
malS	melAB	cyoABCDE	gltA	nagBACD	fhuACDB	nuoABCEFGHIJKLMN	caiF	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	fur	tnaLAB	deoCABD	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	yhfA	nupG	ecfK	cytR	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	araJ	himA	ivbL_ilvBN	narK	deoR	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	grpE	pspABCDE	gntKU	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	tonB	soxS	nfo	rpoD	cydAB	gntT	tsx	nrfABCDEFG	uhpT	icdA	hflB	arcA	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	tdcABCDEFG	fixABCX	hypABCDE	fucAO	aceBAK	caiTABCDE	malT	lon
malEFG	malT	gntT	ebgAC	mglBAC	araBAD	speC	crp	ivbL_ilvBN	fucPIKUR	malK_lamB_malM	yhfA	fucAO	gntKU	uhpT	melAB	cyaA	malS	tsx	fepB	uppS_cdsA_ecfE	glgS	htrA	sodA	acs	mopB	fecIR	deoCABD	araC	srlAEBD_gutM_srlR_gutQ	tnaLAB	nupG	fur	ecfK	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	clpP	nagBACD	araJ	fnr	ansB	caiF	himA	manXYZ	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	appCBA	cydAB	cytR	nrfABCDEFG	narK	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	narL	appY	dcuB_fumB	focA_pflB	ecfG	tdcABCDEFG	gltA	fixABCX	hypABCDE	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
cytR	icdA	cpxAR	caiF	tnaLAB	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	deoCABD	ecfK	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	fur	nupG	gntKU	araJ	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	narK	ivbL_ilvBN	uhpT	hflB	manXYZ	appCBA	ompC	yjdHG	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	cydAB	gntT	tsx	ecfG	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	melAB	nrfABCDEFG	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	lon
tonB	caiF	deoCABD	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	fepB	ecfK	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	fur	nupG	gntKU	araJ	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	narK	ivbL_ilvBN	uhpT	gntT	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	soxS	nfo	rpoD	cydAB	tsx	icdA	nrfABCDEFG	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	lon
malEFG	malT	gntT	mglBAC	araBAD	speC	glgS	crp	ivbL_ilvBN	fucPIKUR	malK_lamB_malM	yhfA	fucAO	gntKU	uhpT	melAB	cyaA	malS	tsx	fepB	uppS_cdsA_ecfE	htrA	acs	sodA	ebgAC	mopB	fecIR	deoCABD	araC	srlAEBD_gutM_srlR_gutQ	tnaLAB	nupG	fur	ecfK	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	clpP	nagBACD	araJ	fnr	ansB	caiF	himA	manXYZ	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	appCBA	cydAB	cytR	nrfABCDEFG	narK	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	narL	appY	dcuB_fumB	focA_pflB	ecfG	tdcABCDEFG	gltA	fixABCX	hypABCDE	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
appY	sdhCDAB_b0725_sucABCD	ptsHI_crr	caiF	deoCABD	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	fepB	fur	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	yhfA	nupG	ecfK	gntKU	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	cirA	cyaA	speC	araBAD	clpP	nagBACD	araJ	narK	ivbL_ilvBN	uhpT	icdA	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	cydAB	gntT	tsx	ecfG	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	dcuB_fumB	focA_pflB	melAB	nrfABCDEFG	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	lon
soxS	mopB	araJ	caiF	tnaLAB	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	deoCABD	ecfK	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	fur	nupG	gntKU	araE	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	xprB_dsbC_recJ	nagBACD	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	narK	ivbL_ilvBN	uhpT	gntT	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	nfo	rpoD	cydAB	tsx	icdA	nrfABCDEFG	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	lon
cydAB	pspABCDE	arcA	appCBA	soxS	mopB	caiF	fecIR	fur	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	tnaLAB	sodA	nupG	deoCABD	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	ecfK	nagBACD	araJ	araE	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	xprB_dsbC_recJ	cytR	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	himA	ivbL_ilvBN	narK	grpE	gntT	manXYZ	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	deoR	nrfABCDEFG	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	nfo	rpoD	tsx	malT	gntKU	dcuB_fumB	uhpT	icdA	hflB	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	focA_pflB	caiTABCDE	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	lon
ompC	cyoABCDE	gltA	ppiA	nupG	pspABCDE	sodA	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	caiF	fur	deoCABD	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	tnaLAB	araJ	ecfK	araE	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	xprB_dsbC_recJ	narK	lpxDA_fabZ	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	cytR	ivbL_ilvBN	gntKU	grpE	cydAB	manXYZ	appCBA	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	deoR	tsx	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	tonB	soxS	nfo	rpoD	gntT	nrfABCDEFG	uhpT	dcuB_fumB	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	focA_pflB	malT	ecfG	melAB	tdcABCDEFG	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
